丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[5]	А基[20]	А基[60]	А基[120]	А秖[5]	А秖[20]	А秖[60]	А秖[120]
84500	16831	16854	16817	16822	4377	0	0	0	0	0	0	0	0
84600	16822	16828	16781	16786	2889	0	0	0	0	0	0	0	0
84700	16788	16799	16782	16784	1633	0	0	0	0	0	0	0	0
84800	16783	16806	16781	16805	1372	0	0	0	0	0	0	0	0
84900	16803	16806	16795	16798	820	16799	0	0	0	2218	0	0	0
85000	16796	16818	16795	16818	1077	16798□	0	0	0	1558□	0	0	0
85100	16818	16831	16813	16814	1234	16804◆	0	0	0	1227□	0	0	0
85200	16815	16815	16803	16805	702	16808◆	0	0	0	1041□	0	0	0
85300	16804	16806	16797	16799	584	16807□	0	0	0	884□	0	0	0
85400	16798	16820	16796	16820	805	16811◆	0	0	0	881□	0	0	0
85500	16820	16828	16813	16823	706	16812◆	0	0	0	806□	0	0	0
85600	16824	16833	16822	16828	828	16815◆	0	0	0	725□	0	0	0
85700	16828	16846	16827	16833	1328	16821◆	0	0	0	850◆	0	0	0
85800	16833	16847	16833	16846	685	16830◆	0	0	0	871◆	0	0	0
85900	16847	16864	16845	16863	1747	16839◆	0	0	0	1059◆	0	0	0
90000	16862	16882	16842	16847	2833	16844◆	0	0	0	1484◆	0	0	0
90100	16846	16872	16844	16865	1357	16851◆	0	0	0	1590◆	0	0	0
90200	16865	16868	16851	16866	922	16858◆	0	0	0	1509□	0	0	0
90300	16865	16884	16865	16879	1527	16864◆	0	0	0	1677◆	0	0	0
90400	16879	16885	16868	16871	1151	16866◆	16829	0	0	1558□	1429	0	0
90500	16870	16899	16868	16899	1848	16876◆	16833◆	0	0	1361□	1303□	0	0
90600	16898	16907	16891	16895	1633	16882◆	16838◆	0	0	1416◆	1240□	0	0
90700	16895	16900	16874	16896	1323	16888◆	16844◆	0	0	1497◆	1224□	0	0
90800	16899	16904	16892	16895	755	16891◆	16848◆	0	0	1342□	1193□	0	0
90900	16896	16908	16894	16905	1088	16898◆	16853◆	0	0	1330□	1207◆	0	0
91000	16903	16909	16898	16904	783	16899◆	16858◆	0	0	1117□	1192□	0	0
91100	16906	16918	16905	16917	1299	16904◆	16863◆	0	0	1050□	1195◆	0	0
91200	16918	16923	16908	16919	1013	16908◆	16869◆	0	0	988□	1211◆	0	0
91300	16918	16929	16912	16913	1140	16912◆	16874◆	0	0	1065◆	1239◆	0	0
91400	16914	16928	16914	16925	750	16916◆	16880◆	0	0	997□	1236□	0	0
91500	16925	16936	16920	16933	3076	16922◆	16885◆	0	0	1456◆	1354◆	0	0
91600	16933	16936	16918	16920	1277	16922◆	16890◆	0	0	1451□	1377◆	0	0
91700	16922	16930	16916	16919	972	16922	16894◆	0	0	1443□	1359□	0	0
91800	16919	16927	16912	16916	794	16923◆	16897◆	0	0	1374□	1365◆	0	0
91900	16918	16924	16910	16921	1109	16922□	16900◆	0	0	1446◆	1333□	0	0
92000	16921	16926	16914	16922	907	16920□	16904◆	0	0	1012□	1236□	0	0
92100	16923	16928	16907	16908	885	16917□	16906◆	0	0	934□	1213□	0	0
92200	16907	16916	16895	16896	1384	16913□	16908◆	0	0	1016◆	1236◆	0	0
92300	16895	16899	16890	16891	1161	16908□	16908◆	0	0	1089◆	1218□	0	0
92400	16892	16893	16887	16888	983	16901□	16909◆	0	0	1064□	1209□	0	0
