0,片名,網站,目前到__集,共__集,年代,
1,陸貞傳奇,YouTube,全劇終,59,五代-齊,
2,笑傲江湖,LoveTv Show,全劇終,42,明,
3,刑名師爺,LoveTv Show,全劇終,30,明,
4,木府風雲,YouTube,全劇終,40,明,
5,大太監,線上看TV,全劇終,31,清,
6,康熙王朝,YOUKU,全劇終,46,清,
7,雍正王朝,YOUKU,全劇終,44,清,
8,步步驚心,YouTube,全劇終,40,清,
9,后宮甄環傳,YouTube,全劇終,76,清,
10,少年訟師紀曉嵐,土豆,全劇終,34,清,
11,風流才子紀曉嵐,YouTube,全劇終,25,清,
12,宰相劉羅鍋,YouTube,全劇終,40,清,
13,神話,LoveTv Show,全劇終,50,秦V.S.現代,
14,神的禮物,騰訊視頻,全劇終,16,現代,
15,來自星星的你,Letv樂視網,全劇終,21,現代,
16,小資女孩向前衝,YouTube,全劇終,25,現代,
17,三國,LoveTv Show,25,95,三國,
18,大明查案使,YouTube,5,30,明,
19,乾隆王朝,YOUKU,17,40,清,
20,施公奇案II,DVD,第二片3:22:51,21（三片）,清,
21,延喜攻略,愛奇藝,22,,清,
22,古今大戰秦俑情,YouTube,22-38-22,43,秦V.S.現代,
23,我有特殊溝通技巧,DramasQ,13,26,現代,
24,萌學園,YouTube,第3季,167(六季+外傳),魔法架空世界,
25,宰相小甘羅,,0,30,秦,
26,美人心計,,0,40,漢,
27,瑯琊榜,,0,54,南朝梁,
28,隋唐演義,,0,62,隋唐,
29,蘭陵王,,0,46,五代-齊,
30,大宋提刑官,,0,52,宋,
31,宮（宮鎖心玉）,,0,39,清,
32,快樂星球,,1,50,兒童科幻片,
33,林子大了,YouTube,3,24,現代喜劇,
34,能耐大了,,,,現代喜劇（林子大了續集）, 
