number,date,work,person_1,person_2,vedio,station,,,,place,others_1,others_2,
,日期,      活       （專場、隊、時間）,逗哏,捧哏,片源,網站,單/群,相聲劇, 返場 （已觀看）,地點/專場/其他,補充,,
1,20??????,歪唱太平歌詞,嶽雲鵬,郭德鋼,德雲社,YouTube,,,,封箱,,,
2,20110409,當行論,嶽雲鵬,孫越,我的名字就是非常非常長,bilibili,,,,孫越首專,車禍版,,
3,201108??,汾河灣,郭德綱,於謙,德雲社YouTube站,YouTube,,,,北展商演,於謙醉酒,,
4,20110811,地理圖,孟鶴堂,韓鶴曉,叫什麼不吃?字幕?,YouTube,,,,張一元茶館,,,
5,20120929,地理圖,孟鶴堂,周九良,李?花,YouTube,,,,李鶴彪專場助演,,,
6,20130519,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,湖廣會場,,,
7,20130818,賣估衣,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,天橋劇場,,,
8,20140904,學小曲,劉筱亭,嶽雲鵬,土豆??工廠字幕?,,,,,湖廣會場,劉筱亭首演,,
9,20150213,黃鶴樓,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,天橋劇場,,,
10,20150213,拴娃娃,張雲雷,郭麒麟,,,,,,湖廣會場,,,
11,20150619,黃鶴樓,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,南京德雲社,,,
12,20151028,黃鶴樓,周九良,孟鶴堂,叫什麼不吃?字幕?,YouTube,,,,南京德雲社,捧逗互換,哆啦A夢（主公上馬……）,
13,20160531,百鳥之王,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,黑龍江德雲社,,,
14,20160626,偷斧子,孟鶴堂,周九良,（無字幕）,,,,,湖廣會場,返場孟講鬼故事嚇哭小朋友改講三節,,
15,20160702,洪洋洞,孟鶴堂,曹鶴陽,叫什麼不吃?字幕?,微博,,,,廣德樓,堂堂被打到委屈哭,,
16,20160825,我說的都是真的,燒餅、曹鶴陽、孟鶴堂,,叫什麼不吃?字幕?,微博,,,,黑龍江德雲社,不全,來自曹鶴陽本人的推薦,
17,20160902,歡聲笑語,孟鶴堂,周九良,左耳相?,YouTube,,,,鋼絲節（第四日閉幕）, ,,
18,20160911,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣,返場鬼故事,,
19,20161112,反七口,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,天橋德雲社,,,
20,20161118,鈴鐺譜,孟鶴堂,周九良,,官錄,,,,張鶴倫德州專場助演, ,,
21,20161221,金蘭譜,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,三慶園,,,
22,20161225,百鳥之王,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,廣德樓,,,
23,20161231,雜學唱,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,南京德雲社,,,
24,20170121,黃鶴樓,陶陽,欒雲平,其?融融字幕?,YouTube,,,,湖廣會場,,,
25,20170311,洪洋洞,張雲雷,王九龍,楚琴影,微博,,,,湖廣會場,,,
26,20170416,楊乃武與小白菜,張雲雷,楊九郎,,,,,,,,,
27,20170419,論捧逗,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,湖廣會場,小恐龍>孟,,
28,20170421,黃鶴樓,孟鶴堂,周九良,相聲專場-笑口常開,YouTube,,,,上海三寶,,,
29,20170426,當行論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
30,20170513,拴娃娃,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,ν,南京德雲社,（返）三節,,
31,20170622,捉放曹,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,三裡屯,,,
32,20170726,黃鶴樓,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,(返)孟被氣走,,
33,20170813,快板漫談,張九齡,王九龍,德雲中?字幕?,微博,,,ν,天橋劇場,（返）賣估衣,,
34,20170902,買賣論,孟鶴堂,周九良,（無字幕）,,,,,廣德樓,,,
35,20171001,口吐蓮花,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,天橋午場,,,
36,20171003,百獸圖,燒餅,曹鶴陽,FUN Video,YouTube,,,,臺北站,,,
37,20171004,學啞語,孟鶴堂,周九良,,,,,,,,,
38,20171006,反七口,孟鶴堂,周九良,,,,,,,,,
39,20171008,百鳥之王,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,天橋劇場,,,
40,20171012,雙簧,謝金、李霄樵、宋昊然、劉筱亭、孟鶴堂、周九良,,叫什麼不吃?字幕?,微博,群,,,七隊鋼絲、天橋,,,
41,20171012,快板,張九泰、周九良、？、宋昊然,,叫什麼不吃?字幕?,微博,群,,,七隊鋼絲、天橋,,,
42,20171031,賣估衣,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,ν,湖廣會場,小先生開嗓,（返）孟講鬼故事,
43,20171101,繞口令,孟鶴堂,欒雲平,叫什麼不吃?字幕?,微博,,,,湖廣會場,,,
44,20171218,學外語,尚九熙,何九華,,官錄,,,,愛岳之城嶽雲鵬相聲專場廈門站助演, ,,
45,20171228,結巴論,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,三裡屯,,,
46,20180104,捉放曹,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,ν,三裡屯,,,
47,20180105,鈴鐺譜,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,三裡屯,,,
48,20180105,繞口令,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,三裡屯,,,
49,20180112,拴娃娃,孟鶴堂,周九良,（製作中）,,,,,,良笑場,,
50,20180128,歡歌笑語,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,北京金沙首專,,,
51,20180203,拴娃娃,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,哈爾濱,,,
52,20180204,陰陽五行,郎昊辰,欒雲平,??逗唱占?聽,bilibili,,,,一隊小封箱,,,
53,20180204,節日遊戲,高峰,欒雲平,相?小品大?堂,YouTube,,,ν,一隊小封箱,,,
54,20180227,三人行,李九重、何九華、朱鶴松,,灼灼其華字幕?,YouTube,群,,,二隊小開箱、天橋劇場,（金剛腿）,,
55,20180227,捉放曹,孟鶴堂,周九良,叫什麼不吃?字幕?,微博,,,,七隊小開箱、湖廣會場, ,,
56,20180227,說學逗唱,董九力,張雲雷,玉子29,bilibili,,,,八隊小開箱、三慶園, ,,
57,20180303,鈴鐺譜,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
58,20180304,大保鑣,孟鶴堂,周九良,叫什麼不吃?字幕?,,,,,湖廣會場,,,
59,20180307,學跳舞,孟鶴堂,周九良,叫什麼不吃?字幕?,YouTube,,,,廣德樓晚場,,,
